n,numberOfSamples,time_cpu_float,time_cpu_double,block_size,time_gpu_float,time_gpu_double,diff_float,diff_double,spdup_float,spdup_double,cpu,gpu,
5000,5000,0.57274,1.06088,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,0,
5000,5000,-9999,-9999,1,0.561608,0.746777,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,4,0.284678,0.272177,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,9,0.264257,0.180722,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,16,0.227474,0.145806,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,25,0.230749,0.128526,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,36,0.234844,0.138895,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,49,0.227859,0.133222,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,64,0.259251,0.125495,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,81,0.257153,0.130956,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,100,0.252502,0.130512,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,121,0.237086,0.126054,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,144,0.240224,0.128216,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,169,0.241215,0.12918,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,196,0.25158,0.129218,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,225,0.246816,0.128774,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,256,0.268736,0.123309,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,289,0.267908,0.127312,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,324,0.255046,0.12715,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,361,0.223296,0.127053,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,400,0.233317,0.124475,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,441,0.253397,0.123802,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,484,0.249951,0.124545,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,529,0.248524,0.126427,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,576,0.265884,0.12988,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,625,0.237324,0.123754,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,676,0.259922,0.126078,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,729,0.2547,0.126244,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,784,0.252167,0.127437,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,841,0.251937,0.126668,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,900,0.248581,0.126767,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,961,0.229304,0.124264,-9999,-9999,-9999,-9999,0,1,
5000,5000,-9999,-9999,1024,0.234066,0.125351,-9999,-9999,-9999,-9999,0,1,
8192,8192,1.45355,2.66417,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,0,
8192,8192,-9999,-9999,1,0.857462,1.92312,-9999,-9999,-9999,-9999,0,1,
8192,8192,-9999,-9999,4,0.431676,0.718489,-9999,-9999,-9999,-9999,0,1,
8192,8192,-9999,-9999,9,0.38772,0.47644,-9999,-9999,-9999,-9999,0,1,
8192,8192,-9999,-9999,16,0.351627,0.376314,-9999,-9999,-9999,-9999,0,1,
8192,8192,-9999,-9999,25,0.326874,0.341239,-9999,-9999,-9999,-9999,0,1,
8192,8192,-9999,-9999,36,0.355375,0.369406,-9999,-9999,-9999,-9999,0,1,
8192,8192,-9999,-9999,49,0.338435,0.337655,-9999,-9999,-9999,-9999,0,1,
8192,8192,-9999,-9999,64,0.328043,0.325324,-9999,-9999,-9999,-9999,0,1,
8192,8192,-9999,-9999,81,0.337053,0.337098,-9999,-9999,-9999,-9999,0,1,
8192,8192,-9999,-9999,100,0.342309,0.340619,-9999,-9999,-9999,-9999,0,1,
8192,8192,-9999,-9999,121,0.343347,0.329929,-9999,-9999,-9999,-9999,0,1,
8192,8192,-9999,-9999,144,0.329194,0.326062,-9999,-9999,-9999,-9999,0,1,
8192,8192,-9999,-9999,169,0.341363,0.337582,-9999,-9999,-9999,-9999,0,1,
